0,194482,0,7.3897943497,0
10,614.617,1.9999999553,7.4892883301,0
20,36.0564,0,6.2059211731,0
30,10.5523,0,5.2593002319,0
40,5.72724,0,5.8625950813,0
50,5.38504,1.9999999553,5.6952672005,0
60,5.13666,1.9999999553,5.3843421936,0
70,5.5192,0,5.2746505737,0
80,5.20302,0,5.2325348854,5
90,5.19673,1.9999999553,5.0921330452,0
100,4.9129,5.9999998659,5.0628437996,0
110,4.99593,1.9999999553,4.9968624115,0
120,4.98059,0,5.0246281624,5
130,4.96463,1.9999999553,4.6801142693,0
140,5.17841,0,4.6652531624,5
150,5.20529,0,4.9523668289,0
160,5.10179,0,4.8847880364,5
170,4.99595,0,4.9301524162,0
180,4.93376,0,5.0343298912,5
190,4.93144,5.9999998659,4.6837968826,0
200,5.08587,0,4.7254428864,5
210,5.08392,0,4.2882475853,5
220,4.89456,5.9999998659,4.8544821739,0
230,4.85066,3.9999999106,4.3107995987,5
240,5.00797,3.9999999106,4.9122200012,0
250,4.78063,3.9999999106,4.5734772682,5
260,4.77407,1.9999999553,4.1705002785,5
270,4.80926,1.9999999553,4.4278898239,10
280,4.90406,1.9999999553,4.245446682,15.0000009537
290,4.79429,5.9999998659,4.2115321159,15.0000009537
300,4.80931,1.9999999553,4.9150214195,10
310,4.64275,0,4.5955514908,5
320,4.51177,5.9999998659,4.4722862244,10
330,4.52949,3.9999999106,4.1436600685,0
340,4.32293,7.9999998212,6.4717788696,5
350,4.55511,0,4.5713458061,0
360,4.37238,3.9999999106,3.9682693481,5
370,4.52853,0,4.7156553268,0
380,4.42746,3.9999999106,4.3226671219,0
390,4.14409,7.9999998212,4.4259028435,0
400,4.14192,15.9999996424,4.3183717728,0
410,3.90048,7.9999998212,4.4316926003,10
420,4.13297,9.999999404,4.0683717728,5
430,4.25253,1.9999999553,4.1001839638,5
440,3.89557,15.9999996424,4.3612170219,5
450,4.30096,5.9999998659,4.3018698692,15.0000009537
460,3.98065,11.9999989867,4.1992907524,10
